"BOARD_NUM","BOARD_WRITER","BOARD_TYPE","BOARD_TITLE","BOARD_CONTENT","REGDATE","REPLYCNT"
75,"낭만밤","Q","17년동안 방치된 와인","지금 가지고 있는 와인이 있는데요. 이 와인은 로얄살루트 스카치위스키 21년산 The Ruby Flagon입니다. 이걸 17년전에 구입해서 그뒤로 병뚜껑의 비닐 포장도 뜯지않고 내용물모두 상자안에 있는 구입상태 그대로 가지고 있는데요. 이것을 17년동안 냉장고가 아니라 방 책꽃이에 넣어두었었습니다. 이런 상태의 와인을 따서 마셔도 될까요?",21/07/18,0
76,"ky53","Q","췌장 머리부분에 음성인 혹이 있습니다. 와인 먹어도 되나요","췌장 머리 부분에 20mm ~ 25mm짜리 음성인 혹이 있습니다.
발견한 후 부터 술은 안하고있고, 담배는 태어나서 펴본적이 없습니다.
이런 상태에서 질문 하나 부탁드립니다.
와인에 양파를 담궈서 한잔씩 먹고 자려고 하는데
관련분야 전문의 분들의 생각은 어떠신지 궁급합니다.
매년 5월에 mri로 추적관찰하고있는데,
꼭 검사결과 들으러 갈 때 물어봐야지 물어봐야지하고 까먹어서",21/07/18,0
77,"kimhanzuu","Q","예전에 뷔페에서 먹었던 와인 질문","예전 뷔페에서 와인 무제한으로 줬을때 도수가 약하면서 달달한 와인을 먹었거든요

찾아보니 모스깐테 브라첼로 던데... 이건 일반 이마트나 롯데마트에서 구할수 없는건가요?? 

검색을 해봐도 나오는게 없어서...",21/07/18,0
78,"곰곰상담가","Q","레드와인 보관온도","레드와인을 베란다 그늘진 곳에 박스채로 두었는데 요즘 며칠 너무 더운걸 깜빡했는데 상했을까요?... 상한걸 먹으면 맛을 알까요? 안먹어본 와인인데 ㅜㅜ 빌라파니 토스카나 로소 입미다",21/07/18,0
79,"drea","Q","와인 초심자 와린이입니다! 와인병따개? 칠링백? 이런거 꼭 필요한가요??","요즘 집에서 혼자 이것저것 사서 마시고 있는데
와인 종류도 다양하고 와인 오프너, 와인 칠링백 같은 용품도 머가 많아서 입문하기 어렵네요
맛있게 먹는법 알려주세요",21/07/18,0
80,"쟈쟈주","Q","크림상의 주석이 뭐죠?","진저비어(Ginger Beer)는 진저와 크림상의 주석, 설탕의 혼합액을 물에다 타고 거기에다 Yeast(효모)를 섞어서 발효를 하여 만든다.

라는데 크림상의 주석이 뭔지 모르겠네욤",21/07/18,0
81,"hatya","Q","와인맛 궁금","궁금한게 생겼는데 와인은 무슨 맛이에요 ? 막 포도주 ? 같은거 막 알콜 있고 하는 맛인가요 ? 아니면 무슨 주스 같은 맛?? 인가요 ?? 이온음료 같은 맛인가 ? 아니면 탄산 ? 너무 궁금해요유ㅠㅠ",21/07/18,0
82,"4mead","Q","2007년산 러시아 샴페인 상온에서 찾았는데 먹어도 되는걸까요?","러시아어라 못읽겠는데 2007년에 구입했습니다.",21/07/18,0
83,"soda222","Q","효모 온도","전통주 담그는데 과발효될까바 냉장고에 넣어놓으려 하는데
효모 안죽겠죠?",21/07/18,0
84,"yodoz522","Q","와인 질문","MAJUANG RED 2004
와인을 집 정리하다 찾았는데 먹을수 있는건가요??
그리고 와인 검색해도 가격정보가 안나오던데 단종된제품인가요??",21/07/18,0
85,"yomez33","Q","럼 진 위스키 보드카 데킬라 차이","제조 방식이 차이가 있나요? 영양성분이 다른가요?",21/07/18,0
86,"totoro","Q","레드와인 추천(1~3만원대)","드라이 와인 중 산미는 적고 묵직하면서 당도는 은근하게 느껴지는
만원대~3만원대 레드와인 추천 부탁드리겠습니다.",21/07/18,0
87,"topaze","Q","미개봉 화이트와인 실온보관","미개봉한 화이트 와인 3-4달 정도 실온보관 해도 괜찮나요 ~?",21/07/18,0
88,"love22","Q","편의점 와인 추천해주세여","제가 양주랑 소주 맥주만 마셔보고 와인은 모스카토? 그거 말곤 안 마셔봤는데 추천 좀 해주세요! 달달하고 누가 마셔도 선호할 법 한 그런 걸로 추천해주세요!! 편의점은 어디든 상관없구요!!
빠른 답변부탁드려요",21/07/18,0
89,"dd96","Q","신의 물방울에 나온 와인중에 국내에서 살수있는 와인있나요?","와인을마시고 평가하는

만화 로알려진 신의 물방의

나온 와인들이 대부분 일본산 와인인데요

혹시 신의물방울에 나온 와인중에

국내에서 살수있는와인이있을까요?",21/07/18,0
90,"poroGG","Q","와인 가격 질문드립니다.","Silver Lining Cabernet Sauvignon 2018

얼마인가요",21/07/18,0
91,"heroWW","Q","남은 와인 보관","와인 마시고 남은거 어떻게 보관하나요? 
  코르크 마개도 버렸고 뭐 막을 것도 딱히 없어요...",21/07/18,0
92,"zz4678","Q","이탈리아에서 와인 위탁수하물","이탈리아에서 곧 한국으로 입국 예정입니다
구입한 와인이 아닌,
선물 받은 와인을 한국으로 가져가려고 하는데요
(와인 제조업을 하는 친구에게 받았습니다)
매장에서 다른 와인들도 4병정도 구매해서 함께 가져가고싶은데
어떻게 가져갈 수 있나요?",21/07/18,0
93,"moakai","Q","달달~함이 느껴지는 와인 추천해주세요","많이 떫지않고 달달~함이 느껴지는 와인 추천해주세요

와인을 처음먹어봤는데

로제마제라는 편의점에서 구매한 레드와인이에요
떫음은 저정도가 괜찮고 당도가 좀 낮더라고요 저거에서 좀 더 단 와인을 찾는데 추천해주세욥!!
편의점이나 대형마트에서 쉽게 구매할수 있는 것으로요!
금액은 1~3 만원대 저렴한거요",21/07/18,0
94,"bing","Q","돔 페리뇽 2002","2013년도 결혼하면서 하와이 계시는 이모님이 선물로

주셔서 여태 실온 보관중 이었는데

이번년 안에 마실까 하고있어요 지금부터

냉장고에 넣어 놓아도될까요? 아니면 마시기전 에

냉장고에 넣었다가 마실까요?

샴페인에 대해 신랑이나 저나 잘 몰라서요ㅎ",21/07/18,0
95,"yasuo","Q","와인잔 받침대?","이거 어디서 살 수 있는지 알 수 있을까요ㅠㅠ",21/07/18,0
96,"masterTI","Q","와인 질문입니다.","와인 입구를 덮고있는 은박지 이름이 뭔가요~?
직접와인을 담을려고하는데 어디서 사는지 궁금해서 올렸습니다.",21/07/18,0
97,"nunu","Q","와인먹으면 검은색 가래","와인은 레드와인인데 검은색 침이 나오는 이유가 궁금해요 먹고나서 양치하거나 하면",21/07/18,0
98,"garlio","Q","소주 못드시는 분이 먹을만한 와인이 있을까요","소주 도수때문이 아니고 그 역한 알콜향때문에 못드시고 맥주는 환장하는분인데 무슨 술을 좋아하실까요 ?? 아무거나 추천부탁드립니다",21/07/18,0
99,"nasus","Q","와인 택배","주류법상 와인은 택배가 안되는걸로 알고 있는데
웬디 보틀샵이나 보틀샵에서 택배 되는건
어떻게 가능한건가요 ?",21/07/18,0
100,"renecton","Q","와인 마셔도 되나요?","제조일이나 유통기한 없는건지 못찾는건지 ; 
좀 오래된거같아서요 마셔도 되나요? 부엌 깊숙한 곳에서 발견했습니다.",21/07/18,0
101,"renga","Q","와인에서 살아있는 나방이 나왔어요...","와인을 까자마자 잔에 따뤘는데 살아있는 나방이 같이 나왔어요....
뒤집어져서 버둥버둥거리던데 금방 죽더라구요....
진짜 충격이 너무커서 오픈하자마자 한모금도 못마시고 뚜껑으로 다시 막아버렸네요
혹시몰라서 따르기전에 잔 안에 벌레가 들어간건가 싶어서 와인따기 전에 사진을 확인해봤는데
나방은 없었어요
와인안에 나방이 들어갈 수가 있나요..??
아니 들어가도 살아있을 수가 있나요??
내일 와인구매한 곳에 가려는데 환불 받을 수 있을지 모르겠네요ㅠㅠ",21/07/18,0
102,"khazix","Q","와인 상온보관해도 되나요?","선물용으로 와인을 샀는데 생각보다 일찍 배송되어서 4일정도 집에 보관해야하는 상황입니다.
술을 안마시는 편이라 와인 냉장고도 없고 어떻게 보관해야할지 모르겠는데 상온에 두어도 되나요?
냉장고에 두고싶은데 포장이 이미 된 상태로 배송되어서 포장 박스 채로 냉장고에 둬도 되는지 모르겠어요.

그냥 흔한 선물용 와인 박스에 겉에 포장지 둘러진 채로 왔습니다.
이런 경우엔 포장된 채로 냉장고에 넣는게 나을까요 상온보관하는게 나을까요?
그리고 냉장고 보관할땐 무슨 수건을 깔라는데 무슨말인지 이해가 잘 안돼서요.
자세히 설명해주실 분 계신가요?",21/07/18,0
103,"romense","Q","기름기 있는 감자요리에 어울리는 와인","제목대로 서양식으로 기름기가 있는 감자요리를 만들었다면 어울리는 와인종류는 어떤것이 있을까요 ?",21/07/18,0
104,"DDahyo","Q","화이트와인 꼭 칠링해야하나요?","남아프리카 쇼블을 샀는데 그냥 실온에 뒀다 마셨을때는 향이 풍부하더라구요 자몽향이랑 타코?향 퍼져서 되게 기분 좋았고 블라인드테스트해도 바로 맞출 자신있을 정도로 향이 특이했어요

이튿날 냉장고에 넣었다 먹으니 그 향이 안나요 알콜이 더 잘느껴지는 거같기도 하고....너무 평범한 화이트와인맛 이거 기분탓인가요? 온도문제인가요? 오픈하고 바로 안마셔서 향이 날아간건가요?",21/07/18,0
105,"yone","Q","샴페인 김치냉장고 보관","볼랭져를 샀는데 당분간 마실일이 없어서 보관 할 곳을 찾다가 신문지에 싸서 김치냉장고에 넣어 뒀는데 괜찮을까요???
그리고 자리가 문열고 닫는 곳이랑 김치 보관 하는쪽 있는데 어디가 더 좋을까요???",21/07/18,0
106,"nunu","Q","술은 칼로리가 없다는 말이 왜 나온건가요?","소주 맥주, 와인 다 칼로리가 있는건데
증발되는 칼로리라느니
안주없이 술만 먹으면 제로칼로리 라느니

다 근거가 없는 말인건가요?",21/07/18,0
107,"ihen","Q","질문질문질문","와인 16도 짜리 소주잔에 3잔 먹으면 맥주로는 몇 캔 먹은 거예요?",21/07/18,0
129,"jdy","자유게시판","이름바꾸기전test닉","바꾸기전",21/08/04,2
126,"Adrian Tanase","자유게시판","겨울에 특별히 어울리는 와인도 있나요?","추천해주세요",21/07/23,1
128,"Arif B","자유게시판","와인 냉장고 좋나요?","좋은 브랜드 추천 좀 해주세요",21/07/28,1
